s,kmin,kmax,e
-30,0,0.0131578947368421,1.40000005761692
-30,0.0131578947368421,0.0263157894736842,1.00371522937061
-30,0.0263157894736842,0.0394736842105263,0.782242433288291
-30,0.0394736842105263,0.0526315789473684,0.640827137573323
-30,0.0526315789473684,0.0657894736842105,0.542709499680966
-30,0.0657894736842105,0.0789473684210526,0.470645993790712
-30,0.0789473684210526,0.0921052631578947,0.415475934436784
-30,0.0921052631578947,0.105263157894737,0.371882474128466
-30,0.105263157894737,0.118421052631579,0.336567976827195
-30,0.118421052631579,0.131578947368421,0.307378625134975
-30,0.131578947368421,0.144736842105263,0.282848060751987
-30,0.144736842105263,0.157894736842105,0.261943388910682
-30,0.157894736842105,0.171052631578947,0.24391602931535
-30,0.171052631578947,0.184210526315789,0.228210193743933
-30,0.184210526315789,0.197368421052632,0.21440457650299
-30,0.197368421052632,0.210526315789474,0.202173998440879
-30,0.210526315789474,0.223684210526316,0.191263471651291
-30,0.223684210526316,0.236842105263158,0.181470230521239
-30,0.236842105263158,0.25,0.172631013876337
-29.4957983193277,0,0.0131578947368421,1.40000005356285
-29.4957983193277,0.0131578947368421,0.0263157894736842,1.00851177707308
-29.4957983193277,0.0263157894736842,0.0394736842105263,0.788084208938004
-29.4957983193277,0.0394736842105263,0.0526315789473684,0.646717553688847
-29.4957983193277,0.0526315789473684,0.0657894736842105,0.548348831614371
-29.4957983193277,0.0657894736842105,0.0789473684210526,0.475951778526464
-29.4957983193277,0.0789473684210526,0.0921052631578947,0.420440794551744
-29.4957983193277,0.0921052631578947,0.105263157894737,0.376525363493509
-29.4957983193277,0.105263157894737,0.118421052631579,0.340915969022386
-29.4957983193277,0.118421052631579,0.131578947368421,0.311459811223937
-29.4957983193277,0.131578947368421,0.144736842105263,0.286688876421378
-29.4957983193277,0.144736842105263,0.157894736842105,0.26556771354684
-29.4957983193277,0.157894736842105,0.171052631578947,0.247345046917543
-29.4957983193277,0.171052631578947,0.184210526315789,0.231462549444579
-29.4957983193277,0.184210526315789,0.197368421052632,0.217496638538504
-29.4957983193277,0.197368421052632,0.210526315789474,0.205120140241625
-29.4957983193277,0.210526315789474,0.223684210526316,0.194076337890968
-29.4957983193277,0.223684210526316,0.236842105263158,0.184160975217772
-29.4957983193277,0.236842105263158,0.25,0.175209507257018
-28.9915966386555,0,0.0131578947368421,1.40000005012914
-28.9915966386555,0.0131578947368421,0.0263157894736842,1.01335438559873
